location_id,sensors_id,location,datetime,lat,lon,parameter,units,value
2178,3918,Del Norte-2178,2022-05-03T02:00:00-06:00,35.1353,-106.584702,so2,ppm,0.0
2178,3918,Del Norte-2178,2022-05-03T03:00:00-06:00,35.1353,-106.584702,so2,ppm,0.0
2178,3918,Del Norte-2178,2022-05-03T04:00:00-06:00,35.1353,-106.584702,so2,ppm,0.0
2178,3918,Del Norte-2178,2022-05-03T05:00:00-06:00,35.1353,-106.584702,so2,ppm,0.0
2178,3918,Del Norte-2178,2022-05-03T06:00:00-06:00,35.1353,-106.584702,so2,ppm,0.0
2178,3918,Del Norte-2178,2022-05-03T07:00:00-06:00,35.1353,-106.584702,so2,ppm,0.001
2178,3918,Del Norte-2178,2022-05-03T08:00:00-06:00,35.1353,-106.584702,so2,ppm,0.001
2178,3918,Del Norte-2178,2022-05-03T09:00:00-06:00,35.1353,-106.584702,so2,ppm,0.0
2178,3918,Del Norte-2178,2022-05-03T10:00:00-06:00,35.1353,-106.584702,so2,ppm,0.0
2178,3918,Del Norte-2178,2022-05-03T11:00:00-06:00,35.1353,-106.584702,so2,ppm,0.0
2178,3918,Del Norte-2178,2022-05-03T12:00:00-06:00,35.1353,-106.584702,so2,ppm,0.0
2178,3918,Del Norte-2178,2022-05-03T13:00:00-06:00,35.1353,-106.584702,so2,ppm,0.0
2178,3918,Del Norte-2178,2022-05-03T14:00:00-06:00,35.1353,-106.584702,so2,ppm,0.0
2178,3918,Del Norte-2178,2022-05-03T15:00:00-06:00,35.1353,-106.584702,so2,ppm,0.0
2178,3918,Del Norte-2178,2022-05-03T16:00:00-06:00,35.1353,-106.584702,so2,ppm,0.0
2178,3918,Del Norte-2178,2022-05-03T17:00:00-06:00,35.1353,-106.584702,so2,ppm,0.0
2178,3918,Del Norte-2178,2022-05-03T18:00:00-06:00,35.1353,-106.584702,so2,ppm,0.0
2178,3918,Del Norte-2178,2022-05-03T19:00:00-06:00,35.1353,-106.584702,so2,ppm,0.0
2178,3918,Del Norte-2178,2022-05-03T20:00:00-06:00,35.1353,-106.584702,so2,ppm,0.0
2178,3918,Del Norte-2178,2022-05-03T21:00:00-06:00,35.1353,-106.584702,so2,ppm,0.0
2178,3918,Del Norte-2178,2022-05-03T22:00:00-06:00,35.1353,-106.584702,so2,ppm,0.0
2178,3918,Del Norte-2178,2022-05-03T23:00:00-06:00,35.1353,-106.584702,so2,ppm,0.0
2178,3918,Del Norte-2178,2022-05-04T00:00:00-06:00,35.1353,-106.584702,so2,ppm,0.0
2178,3917,Del Norte-2178,2022-05-03T01:00:00-06:00,35.1353,-106.584702,o3,ppm,0.047
2178,3917,Del Norte-2178,2022-05-03T02:00:00-06:00,35.1353,-106.584702,o3,ppm,0.047
2178,3917,Del Norte-2178,2022-05-03T03:00:00-06:00,35.1353,-106.584702,o3,ppm,0.043
2178,3917,Del Norte-2178,2022-05-03T04:00:00-06:00,35.1353,-106.584702,o3,ppm,0.044
2178,3917,Del Norte-2178,2022-05-03T05:00:00-06:00,35.1353,-106.584702,o3,ppm,0.037
2178,3917,Del Norte-2178,2022-05-03T06:00:00-06:00,35.1353,-106.584702,o3,ppm,0.015
2178,3917,Del Norte-2178,2022-05-03T07:00:00-06:00,35.1353,-106.584702,o3,ppm,0.012
2178,3917,Del Norte-2178,2022-05-03T08:00:00-06:00,35.1353,-106.584702,o3,ppm,0.018
2178,3917,Del Norte-2178,2022-05-03T09:00:00-06:00,35.1353,-106.584702,o3,ppm,0.036
2178,3917,Del Norte-2178,2022-05-03T10:00:00-06:00,35.1353,-106.584702,o3,ppm,0.046
2178,3917,Del Norte-2178,2022-05-03T11:00:00-06:00,35.1353,-106.584702,o3,ppm,0.049
2178,3917,Del Norte-2178,2022-05-03T12:00:00-06:00,35.1353,-106.584702,o3,ppm,0.049
2178,3917,Del Norte-2178,2022-05-03T13:00:00-06:00,35.1353,-106.584702,o3,ppm,0.048
2178,3917,Del Norte-2178,2022-05-03T14:00:00-06:00,35.1353,-106.584702,o3,ppm,0.047
2178,3917,Del Norte-2178,2022-05-03T15:00:00-06:00,35.1353,-106.584702,o3,ppm,0.047
2178,3917,Del Norte-2178,2022-05-03T16:00:00-06:00,35.1353,-106.584702,o3,ppm,0.045
2178,3917,Del Norte-2178,2022-05-03T17:00:00-06:00,35.1353,-106.584702,o3,ppm,0.047
2178,3917,Del Norte-2178,2022-05-03T18:00:00-06:00,35.1353,-106.584702,o3,ppm,0.046
2178,3917,Del Norte-2178,2022-05-03T19:00:00-06:00,35.1353,-106.584702,o3,ppm,0.049
2178,3917,Del Norte-2178,2022-05-03T20:00:00-06:00,35.1353,-106.584702,o3,ppm,0.047
2178,3917,Del Norte-2178,2022-05-03T21:00:00-06:00,35.1353,-106.584702,o3,ppm,0.048
2178,3917,Del Norte-2178,2022-05-03T22:00:00-06:00,35.1353,-106.584702,o3,ppm,0.048
2178,3917,Del Norte-2178,2022-05-03T23:00:00-06:00,35.1353,-106.584702,o3,ppm,0.047
2178,3917,Del Norte-2178,2022-05-04T00:00:00-06:00,35.1353,-106.584702,o3,ppm,0.048
